"","accession_id","pdsi_avg","z_index","Drought_category"
"1",1741,0.431936068694269,0.933425918811177,"Normal"
"2",6024,0.735279104247315,1.55754165961857,"Wet region"
"3",6124,0.735279104247315,1.55754165961857,"Wet region"
"4",6244,0.735279104247315,1.55754165961857,"Wet region"
"5",6966,-0.141048113272697,-0.245465320762697,"Normal"
"6",8236,-0.131349756462843,-0.225511353024618,"Normal"
"7",9075,-0.279942936880851,-0.531235671720225,"Normal"
"8",9537,0.426040880743925,0.921296813594967,"Normal"
"9",9543,-0.0179723941909899,0.00775787735701028,"Normal"
"10",9638,-0.344636214832479,-0.664339413562942,"Normal"
"11",9728,0.176749626499144,0.40839037571969,"Normal"
"12",9764,1.01510845501046,2.13327896716145,"Wet region"
"13",9888,-0.634708146268115,-1.26115040691679,"Drought"
"14",9905,-0.634708146268115,-1.26115040691679,"Drought"
"15",9981,-0.0484696084282962,-0.0549888787093566,"Normal"
"16",10002,0.100734831710684,0.251993081563169,"Normal"
"17",10015,0.303431133198901,0.669032332626229,"Normal"
